序号,流水号,平台会员编号,手机号(选填),证件号码,会员姓名,卡号(选填),用户角色,授权类型列表(选填枚举类型地址符号隔开),证件类型(选填默认PRC_ID)
13043,2282972134047351811,U2262966424072881247,,330281198605120091,测试2487605,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13044,2282972134047351812,U2262966424072881248,,330281198605120091,测试2487637,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13045,2282972134047351813,U2262966424072881249,,330281198605120091,测试2488867,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13046,2282972134047351814,U2262966424072881250,,330281198605120091,测试2489965,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13047,2282972134047351815,U2262966424072881251,,330281198605120091,测试2490009,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13048,2282972134047351816,U2262966424072881252,,330281198605120091,测试2490397,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13049,2282972134047351817,U2262966424072881253,,330281198605120091,测试2490399,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13050,2282972134047351818,U2262966424072881254,,330281198605120091,测试2490995,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13051,2282972134047351819,U2262966424072881255,,330281198605120091,测试2492093,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13052,2282972134047351820,U2262966424072881256,,330281198605120091,测试2492781,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13053,2282972134047351821,U2262966424072881257,,330281198605120091,测试2492833,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13054,2282972134047351822,U2262966424072881258,,330281198605120091,测试2493103,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13055,2282972134047351823,U2262966424072881259,,330281198605120091,测试2493109,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13056,2282972134047351824,U2262966424072881260,,330281198605120091,测试2493463,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13057,2282972134047351825,U2262966424072881261,,330281198605120091,测试2493949,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13058,2282972134047351826,U2262966424072881262,,330281198605120091,测试2494235,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13059,2282972134047351827,U2262966424072881263,,330281198605120091,测试2494287,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13060,2282972134047351828,U2262966424072881264,,330281198605120091,测试2495065,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13061,2282972134055740420,U2262966424072881265,,330281198605120091,测试2495247,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13062,2282972134055740421,U2262966424072881266,,330281198605120091,测试2495353,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13063,2282972134055740422,U2262966424072881267,,330281198605120091,测试2495357,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13064,2282972134055740423,U2262966424072881268,,330281198605120091,测试2495383,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13065,2282972134055740424,U2262966424072881269,,330281198605120091,测试2495681,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13066,2282972134055740425,U2262966424072881270,,330281198605120091,测试2495965,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13067,2282972134055740426,U2262966424072881271,,330281198605120091,测试2496295,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13068,2282972134055740427,U2262966424072881272,,330281198605120091,测试2496639,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13069,2282972134055740428,U2262966424072881273,,330281198605120091,测试2497269,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13070,2282972134055740429,U2262966424072881274,,330281198605120091,测试2497355,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13071,2282972134055740430,U2262966424072881275,,330281198605120091,测试2497495,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13072,2282972134055740431,U2262966424072881276,,330281198605120091,测试2497681,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13073,2282972134055740432,U2262966424072881277,,330281198605120091,测试2497839,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13074,2282972134055740433,U2262966424072881278,,330281198605120091,测试2497971,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13075,2282972134055740434,U2262966424072881279,,330281198605120091,测试2498253,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13076,2282972134055740435,U2262966424072881280,,330281198605120091,测试2498287,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13077,2282972134055740436,U2262966424072881281,,330281198605120091,测试2498525,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13078,2282972134055740437,U2262966424072881282,,330281198605120091,测试2498603,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13079,2282972134055740438,U2262966424072881283,,330281198605120091,测试2498775,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13040,2282972134038963215,U2262966424072881244,,330281198605120091,测试2486781,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13080,2282972134055740439,U2262966424072881284,,330281198605120091,测试2498813,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13081,2282972134055740440,U2262966424072881285,,330281198605120091,测试2498941,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13082,2282972134055740441,U2262966424072881286,,330281198605120091,测试2499055,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13083,2282972134064129033,U2262966424072881287,,330281198605120091,测试2499987,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13084,2282972134064129034,U2262966424072881288,,330281198605120091,测试2500269,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13085,2282972134064129035,U2262966424072881289,,330281198605120091,测试2500341,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13086,2282972134064129036,U2262966424072881290,,330281198605120091,测试2500353,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13087,2282972134064129037,U2262966424072881291,,330281198605120091,测试2500473,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13088,2282972134064129038,U2262966424072881292,,330281198605120091,测试2501933,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13089,2282972134064129039,U2262966424072881293,,330281198605120091,测试2502031,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13090,2282972134064129040,U2262966424072881294,,330281198605120091,测试2502279,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13091,2282972134064129041,U2262966424072881295,,330281198605120091,测试2502571,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13092,2282972134064129042,U2262966424072881296,,330281198605120091,测试2502785,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13093,2282972134064129043,U2262966424072881297,,330281198605120091,测试2502867,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13094,2282972134064129044,U2262966424072881298,,330281198605120091,测试2503181,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13095,2282972134064129045,U2262966424072881299,,330281198605120091,测试2503463,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13096,2282972134064129046,U2262966424072881300,,330281198605120091,测试2503773,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13097,2282972134064129047,U2262966424072881301,,330281198605120091,测试2503801,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13098,2282972134064129048,U2262966424081269763,,330281198605120091,测试2504043,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13099,2282972134064129049,U2262966424081269764,,330281198605120091,测试2450463,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13100,2282972134064129050,U2262966424081269765,,330281198605120091,测试2450951,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13101,2282972134064129051,U2262966424081269766,,330281198605120091,测试2450995,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13102,2282972134064129052,U2262966424081269767,,330281198605120091,测试2451007,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13103,2282972134072517636,U2262966424081269768,,330281198605120091,测试2451475,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13104,2282972134072517637,U2262966424081269769,,330281198605120091,测试2451489,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13105,2282972134072517638,U2262966424081269770,,330281198605120091,测试2451517,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13106,2282972134072517639,U2262966424081269771,,330281198605120091,测试2451577,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13107,2282972134072517640,U2262966424081269772,,330281198605120091,测试2451627,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13108,2282972134072517641,U2262966424081269773,,330281198605120091,测试2452029,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13109,2282972134072517642,U2262966424081269774,,330281198605120091,测试2452449,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13110,2282972134072517643,U2262966424081269775,,330281198605120091,测试2452471,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13111,2282972134072517644,U2262966424081269776,,330281198605120091,测试2452487,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13112,2282972134072517645,U2262966424081269777,,330281198605120091,测试2452767,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13113,2282972134072517646,U2262966424081269778,,330281198605120091,测试2453155,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13114,2282972134072517647,U2262966424081269779,,330281198605120091,测试2453459,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13115,2282972134072517648,U2262966424081269780,,330281198605120091,测试2454167,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13116,2282972134072517649,U2262966424081269781,,330281198605120091,测试2454679,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13117,2282972134072517650,U2262966424081269782,,330281198605120091,测试2454831,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13118,2282972134072517651,U2262966424081269783,,330281198605120091,测试2454867,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13119,2282972134072517652,U2262966424081269784,,330281198605120091,测试2454913,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13120,2282972134072517653,U2262966424081269785,,330281198605120091,测试2454951,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13121,2282972134072517654,U2262966424081269786,,330281198605120091,测试2455801,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13122,2282972134080906245,U2262966424081269787,,330281198605120091,测试2456753,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13123,2282972134080906246,U2262966424081269788,,330281198605120091,测试2457765,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13124,2282972134080906247,U2262966424081269789,,330281198605120091,测试2458125,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13125,2282972134080906248,U2262966424081269790,,330281198605120091,测试2458171,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13126,2282972134080906249,U2262966424081269791,,330281198605120091,测试2458321,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13127,2282972134080906250,U2262966424081269792,,330281198605120091,测试2458649,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13128,2282972134080906251,U2262966424081269793,,330281198605120091,测试2458847,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13129,2282972134080906252,U2262966424081269794,,330281198605120091,测试2459009,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13130,2282972134080906253,U2262966424081269795,,330281198605120091,测试2459403,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13131,2282972134080906254,U2262966424081269796,,330281198605120091,测试2459423,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13132,2282972134080906255,U2262966424081269797,,330281198605120091,测试2459519,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13133,2282972134080906256,U2262966424081269798,,330281198605120091,测试2459767,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13134,2282972134080906257,U2262966424081269799,,330281198605120091,测试2459813,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13135,2282972134080906258,U2262966424081269800,,330281198605120091,测试2460049,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13136,2282972134080906259,U2262966424081269801,,330281198605120091,测试2460225,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13137,2282972134080906260,U2262966424081269802,,330281198605120091,测试2460345,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13138,2282972134080906261,U2262966424081269803,,330281198605120091,测试2461333,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13139,2282972134089294854,U2262966424081269804,,330281198605120091,测试2461421,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13140,2282972134089294855,U2262966424081269805,,330281198605120091,测试2461777,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13141,2282972134089294856,U2262966424081269806,,330281198605120091,测试2462185,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13142,2282972134089294857,U2262966424081269807,,330281198605120091,测试2462887,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13143,2282972134089294858,U2262966424081269808,,330281198605120091,测试2462987,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13144,2282972134089294859,U2262966424081269809,,330281198605120091,测试2462995,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13145,2282972134089294860,U2262966424081269810,,330281198605120091,测试2463625,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13146,2282972134089294861,U2262966424081269811,,330281198605120091,测试2463761,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13147,2282972134089294862,U2262966424081269812,,330281198605120091,测试2463805,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13148,2282972134089294863,U2262966424081269813,,330281198605120091,测试2464715,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13149,2282972134089294864,U2262966424081269814,,330281198605120091,测试2464951,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13150,2282972134089294865,U2262966424081269815,,330281198605120091,测试2465003,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13151,2282972134089294866,U2262966424081269816,,330281198605120091,测试2465497,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13152,2282972134089294867,U2262966424081269817,,330281198605120091,测试2466029,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13153,2282972134089294868,U2262966424081269818,,330281198605120091,测试2467563,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13154,2282972134089294869,U2262966424081269819,,330281198605120091,测试2467647,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13155,2282972134089294870,U2262966424081269820,,330281198605120091,测试2467929,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13156,2282972134089294871,U2262966424081269821,,330281198605120091,测试2468213,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13157,2282972134089294872,U2262966424081269822,,330281198605120091,测试2468265,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13158,2282972134089294873,U2262966424081269823,,330281198605120091,测试2468539,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13159,2282972134089294874,U2262966424081269824,,330281198605120091,测试2468591,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13160,2282972134097683464,U2262966424081269825,,330281198605120091,测试2468613,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13161,2282972134097683465,U2262966424081269826,,330281198605120091,测试2468707,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13162,2282972134097683466,U2262966424081269827,,330281198605120091,测试2468727,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13163,2282972134097683467,U2262966424081269828,,330281198605120091,测试2469213,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13164,2282972134097683468,U2262966424081269829,,330281198605120091,测试2470039,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13165,2282972134097683469,U2262966424081269830,,330281198605120091,测试2470089,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13166,2282972134097683470,U2262966424081269831,,330281198605120091,测试2470701,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13167,2282972134097683471,U2262966424081269832,,330281198605120091,测试2470717,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13168,2282972134097683472,U2262966424081269833,,330281198605120091,测试2470775,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13169,2282972134097683473,U2262966424081269834,,330281198605120091,测试2470783,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13170,2282972134097683474,U2262966424081269835,,330281198605120091,测试2470985,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13171,2282972134097683475,U2262966424081269836,,330281198605120091,测试2471127,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13172,2282972134097683476,U2262966424081269837,,330281198605120091,测试2471237,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13173,2282972134097683477,U2262966424081269838,,330281198605120091,测试2471415,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13174,2282972134097683478,U2262966424081269839,,330281198605120091,测试2471487,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6901,2282972129576223773,U2262966416992896089,,330281198605120091,测试1184907,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6902,2282972129576223774,U2262966416992896090,,330281198605120091,测试1184885,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6903,2282972129576223775,U2262966416992896091,,330281198605120091,测试1185407,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6904,2282972129576223776,U2262966416992896092,,330281198605120091,测试1185323,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6905,2282972129576223777,U2262966416992896093,,330281198605120091,测试1185459,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6906,2282972129584612356,U2262966416992896094,,330281198605120091,测试1185523,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6907,2282972129584612357,U2262966416992896095,,330281198605120091,测试1185645,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6908,2282972129584612358,U2262966416992896096,,330281198605120091,测试1186207,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6909,2282972129584612359,U2262966416992896097,,330281198605120091,测试1186223,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6910,2282972129584612360,U2262966416992896098,,330281198605120091,测试1186557,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6911,2282972129584612361,U2262966416992896099,,330281198605120091,测试1186589,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6912,2282972129584612362,U2262966416992896100,,330281198605120091,测试1186663,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6913,2282972129584612363,U2262966416992896101,,330281198605120091,测试1186633,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6914,2282972129584612364,U2262966416992896102,,330281198605120091,测试1186759,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6915,2282972129584612365,U2262966416992896103,,330281198605120091,测试1186781,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6916,2282972129584612366,U2262966416992896104,,330281198605120091,测试1186901,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6917,2282972129584612367,U2262966416992896105,,330281198605120091,测试1186989,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6918,2282972129584612368,U2262966416992896106,,330281198605120091,测试1186961,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6919,2282972129584612369,U2262966416992896107,,330281198605120091,测试1187093,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6920,2282972129584612370,U2262966416992896108,,330281198605120091,测试1187177,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6921,2282972129584612371,U2262966416992896109,,330281198605120091,测试1187175,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6922,2282972129584612372,U2262966416992896110,,330281198605120091,测试1187283,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6923,2282972129584612373,U2262966416992896111,,330281198605120091,测试1187825,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6924,2282972129584612374,U2262966416992896112,,330281198605120091,测试1187861,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6925,2282972129584612375,U2262966416992896113,,330281198605120091,测试1187859,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6926,2282972129584612376,U2262966416992896114,,330281198605120091,测试1188009,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6927,2282972129593000966,U2262966416992896115,,330281198605120091,测试1188039,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6928,2282972129593000967,U2262966416992896116,,330281198605120091,测试1188183,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6929,2282972129593000968,U2262966416992896117,,330281198605120091,测试1188323,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6930,2282972129593000969,U2262966416992896118,,330281198605120091,测试1188519,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6931,2282972129593000970,U2262966416992896119,,330281198605120091,测试1188495,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
6932,2282972129593000971,U2262966416992896120,,330281198605120091,测试1188505,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
